# id, local_s, z_scores, p_values
1.000000,0.017060,-2.003019,0.022588
2.000000,0.012537,-2.558189,0.005261
3.000000,0.016328,-2.161041,0.015346
4.000000,0.003410,-3.290689,0.000500
5.000000,0.006107,-3.721715,0.000099
6.000000,0.005895,-2.377628,0.008712
7.000000,0.009612,-3.800119,0.000072
8.000000,0.012678,-0.946428,0.171965
9.000000,0.033312,-2.192952,0.014155
10.000000,0.021950,-2.650084,0.004024
11.000000,0.006428,-2.875770,0.002015
12.000000,0.008285,-3.697053,0.000109
13.000000,0.008229,-3.825939,0.000065
14.000000,0.009569,-4.061411,0.000024
15.000000,0.022216,-1.884281,0.029763
16.000000,0.010790,-3.742630,0.000091
17.000000,0.008351,-2.642080,0.004120
18.000000,0.021788,-1.344868,0.089334
19.000000,0.024190,-0.857750,0.195515
20.000000,0.019416,-2.649796,0.004027
21.000000,0.013114,-4.823048,0.000001
22.000000,0.010414,-3.026385,0.001237
23.000000,0.011579,-2.226724,0.012983
24.000000,0.016749,-2.123186,0.016869
25.000000,0.009945,-3.652034,0.000130
26.000000,0.005696,-3.146806,0.000825
27.000000,0.007222,-2.447637,0.007190
28.000000,0.010804,-2.714423,0.003320
29.000000,0.006998,-3.222710,0.000635
30.000000,0.014011,-3.085543,0.001016
31.000000,0.002979,-3.113636,0.000924
32.000000,0.003182,-2.431295,0.007522
33.000000,0.005497,-3.013733,0.001290
34.000000,0.005651,-2.409374,0.007990
35.000000,0.003274,-2.785723,0.002670
36.000000,0.012012,-3.509755,0.000224
37.000000,0.012977,-2.480877,0.006553
38.000000,0.017511,-3.665646,0.000123
39.000000,0.009187,-4.232640,0.000012
40.000000,0.000835,-2.698103,0.003487
41.000000,0.007303,-3.617846,0.000149
42.000000,0.014414,-2.742612,0.003048
43.000000,0.013061,-3.238721,0.000600
44.000000,0.008906,-3.706757,0.000105
45.000000,0.005486,-3.759721,0.000085
46.000000,0.014627,-3.144229,0.000833
47.000000,0.025043,-2.355110,0.009259
48.000000,0.007640,-2.456120,0.007022
49.000000,0.012742,-2.386625,0.008502
50.000000,0.008447,-3.382218,0.000360
51.000000,0.007873,-3.346995,0.000408
52.000000,0.008055,-2.838109,0.002269
53.000000,0.010303,-3.270699,0.000536
54.000000,0.017676,-2.934225,0.001672
55.000000,0.027738,-3.441253,0.000290
56.000000,0.012473,-4.539932,0.000003
